yc_id,cluster
"2,576,609",0
"7,050,752",0
"13,975,079",2
"5,702,348",1
"12,310,683",1
"12,982,202",0
"2,795,928",0
"7,896,894",0
"17,725,719",0
"6,987,335",1
"14,045,948",1
"15,679,524",1
"3,680,457",0
"7,780,678",1
"12,013,696",1
"10,192,459",1
"10,860,876",0
"12,280,162",1
"13,688,060",0
"16,038,762",0
"3,317,825",0
"5,877,156",1
"13,119,321",1
"14,467,890",1
"5,277,646",1
"10,159,763",0
"13,803,680",1
"9,278,512",0
"11,915,946",0
"12,929,559",1
"15,225,017",1
"17,437,708",1
"4,742,426",0
"7,813,395",2
"7,430,961",1
"14,162,087",1
"15,242,591",0
"2,531,144",0
"13,162,195",0
"14,205,823",2
"17,795,198",1
"7,797,550",1
"8,681,543",1
"9,695,080",0
"14,162,230",1
"3,146,401",1
"1,467,523",1
"3,650,627",1
"10,102,817",0
"11,275,002",1
"14,994,218",1
"3,430,154",0
"5,048,538",1
"10,034,721",0
"12,210,602",1
"13,821,668",0
"13,901,170",0
"2,477,331",1
"2,597,635",0
"2,659,440",1
"3,936,605",0
"5,707,584",1
"17,567,717",1
"2,981,986",1
"3,927,215",1
"3,939,332",0
"4,032,126",1
"5,752,713",1
"6,618,498",2
"6,698,462",0
"11,381,893",1
"16,790,042",1
"17,161,916",1
"15,522,496",1
"7,467,798",0
"9,397,207",2
"3,457,353",1
"7,894,434",1
"9,818,777",0
"13,972,944",0
"15,792,630",1
"3,031,838",0
"3,355,708",0
"5,666,699",1
"9,168,856",0
"12,706,367",0
"7,740,580",1
"9,701,731",1
"1,229,518",0
"1,494,610",0
"5,097,953",1
"5,666,697",1
"2,943,163",0
"1,266,665",1
"12,012,681",0
"14,250,192",1
"2,584,198",1
"3,341,707",2
"7,704,629",1
"12,665,315",1
"13,807,202",0
"10,569,833",2
"4,785,154",1
"1,299,928",0
"12,469,206",0
"2,475,842",0
"4,078,579",1
"5,937,821",1
"4,881,489",1
"7,619,229",0
"7,752,625",1
"9,050,786",1
"9,235,268",0
"9,705,078",0
"12,230,874",1
"17,502,751",1
"2,179,785",1
"3,648,586",1
"4,148,425",0
"5,881,980",2
"17,336,811",1
"3,328,963",1
"4,109,491",1
"1,297,561",1
"10,877,575",1
"11,353,492",1
"13,669,612",1
"14,019,816",0
"3,320,185",1
"4,045,359",2
"5,076,584",1
"5,482,821",1
"7,336,026",1
"9,731,091",1
"3,846,398",2
"13,756,310",0
"7,521,122",2
"7,529,975",1
"3,711,013",0
"13,153,773",2
"14,052,361",0
"3,117,260",1
"4,078,050",1
"5,195,098",0
"6,222,471",1
"7,903,235",0
"8,010,278",1
"8,980,399",0
"13,081,169",1
"16,966,654",0
"2,354,475",1
"8,508,999",2
"14,062,413",0
"15,179,593",0
"15,911,356",1
"4,223,325",0
"6,838,734",1
"6,973,761",1
"13,060,647",0
"4,639,567",0
"13,897,586",0
"6,578,972",0
"13,998,858",0
"2,854,878",0
"7,443,592",0
"10,092,866",2
"12,523,920",1
"13,688,181",1
"13,901,055",1
"14,224,659",1
"3,936,503",0
"3,844,683",1
"9,307,648",1
"12,179,864",1
"15,162,429",1
"16,636,560",1
"10,883,132",1
"11,258,319",2
"12,001,946",0
"14,022,958",1
"3,163,073",1
"8,452,326",0
"1,081,543",0
"2,532,300",0
"14,042,745",1
"17,184,396",1
"17,343,576",0
"9,486,634",1
"7,623,105",1
"7,745,518",0
"11,292,534",1
"12,310,546",0
"13,784,734",1
"17,182,110",1
"5,048,157",1
"14,052,956",0
"13,749,686",1
"7,326,508",0
"9,765,686",1
"1,323,472",0
"13,566,334",0
"13,991,409",1
"14,222,838",1
"17,599,159",0
"7,725,130",1
"17,520,754",1
"4,093,385",0
"8,042,409",1
"9,462,941",0
"14,827,860",1
"12,939,939",0
"13,759,723",0
"14,467,087",1
"14,827,836",1
"7,362,249",1
"9,307,616",1
"11,353,477",1
"13,756,332",0
"14,015,218",0
"15,188,538",1
"3,365,360",1
"3,456,474",1
"3,233,962",1
"4,785,149",1
"9,255,836",1
"17,502,673",1
"5,277,836",0
"5,763,676",0
"12,937,588",2
"12,146,001",1
"5,705,927",0
"7,740,528",1
"6,385,504",0
"17,441,801",1
"3,638,292",1
"8,990,973",2
"3,092,498",0
"9,789,072",2
"17,637,623",2
